=== 建设任务抽样样本 (覆盖全部八批及8大建设阶段) ===
ID=00001 | 单位ID=0001 | 阶段=组织权限   | 状态=已完成   | 进度=100% | 责任人=孟明德  | 计划=2025-12-18 | 实际=2025-11-04 | 名称=跨法人主体委托记账权限授权
ID=30086 | 单位ID=1003 | 阶段=基础数据   | 状态=未开始   | 进度=  0% | 责任人=史博文  | 计划=2026-10-20 | 实际=无          | 名称=企业开户银行及银企直联通道配置
ID=30087 | 单位ID=1003 | 阶段=组织权限   | 状态=未开始   | 进度=  0% | 责任人=郑放翁  | 计划=2026-10-06 | 实际=无          | 名称=敏感财务数据字段级访问控制策略
ID=30088 | 单位ID=1003 | 阶段=基础数据   | 状态=未开始   | 进度=  0% | 责任人=史博文  | 计划=2026-10-23 | 实际=无          | 名称=客户主数据与信用档案核对校验
ID=30089 | 单位ID=1003 | 阶段=组织权限   | 状态=未开始   | 进度=  0% | 责任人=何梓轩  | 计划=2026-10-06 | 实际=无          | 名称=多级审批流引擎模型配置与验证
ID=30090 | 单位ID=1003 | 阶段=双轨验证   | 状态=未开始   | 进度=  0% | 责任人=时维   | 计划=2026-10-19 | 实际=无          | 名称=高频交易场景单据流转与凭证生成抽检
ID=30091 | 单位ID=1003 | 阶段=期初数据   | 状态=未开始   | 进度=  0% | 责任人=朱南海  | 计划=2026-10-16 | 实际=无          | 名称=期初未达账项与银行对账单平衡调节
ID=30092 | 单位ID=1003 | 阶段=组织权限   | 状态=未开始   | 进度=  0% | 责任人=贝梦儿  | 计划=2026-10-13 | 实际=无          | 名称=业务岗位梳理与多维权限矩阵设计
ID=30093 | 单位ID=1003 | 阶段=上线切换   | 状态=未开始   | 进度=  0% | 责任人=常紫兰  | 计划=2026-09-27 | 实际=无          | 名称=上线首个会计期间月末结账驻场保障
ID=30094 | 单位ID=1003 | 阶段=接口联调   | 状态=未开始   | 进度=  0% | 责任人=郑放翁  | 计划=2026-09-17 | 实际=无          | 名称=采购商城与结算系统前置接口联调
ID=30095 | 单位ID=1003 | 阶段=双轨验证   | 状态=未开始   | 进度=  0% | 责任人=何梓轩  | 计划=2026-09-17 | 实际=无          | 名称=双轨运行稳定性与账表一致性专家评审
ID=30096 | 单位ID=1003 | 阶段=基础数据   | 状态=未开始   | 进度=  0% | 责任人=郑放翁  | 计划=2026-10-09 | 实际=无          | 名称=多税种税率及自动计税规则配置
ID=30097 | 单位ID=1003 | 阶段=双轨验证   | 状态=未开始   | 进度=  0% | 责任人=常紫兰  | 计划=2026-10-21 | 实际=无          | 名称=新旧系统首周业务单据与凭证平行核对
ID=37205 | 单位ID=1241 | 阶段=用户培训   | 状态=未开始   | 进度=  0% | 责任人=赵心怡  | 计划=2026-12-02 | 实际=无          | 名称=骨干业务人员与关键用户专题深化培训
ID=37206 | 单位ID=1241 | 阶段=基础环境   | 状态=未开始   | 进度=  0% | 责任人=苏飞   | 计划=2026-12-20 | 实际=无          | 名称=全链路链路追踪与监控告警上线
ID=37207 | 单位ID=1241 | 阶段=双轨验证   | 状态=未开始   | 进度=  0% | 责任人=赵心怡  | 计划=2026-11-20 | 实际=无          | 名称=高频交易场景单据流转与凭证生成抽检
ID=37208 | 单位ID=1241 | 阶段=用户培训   | 状态=未开始   | 进度=  0% | 责任人=于守正  | 计划=2026-11-25 | 实际=无          | 名称=新系统常见操作误区与防错机制宣贯
ID=37209 | 单位ID=1241 | 阶段=上线切换   | 状态=未开始   | 进度=  0% | 责任人=于守正  | 计划=2026-12-20 | 实际=无          | 名称=系统平稳运行综合评估与项目首期总结
ID=37210 | 单位ID=1241 | 阶段=组织权限   | 状态=未开始   | 进度=  0% | 责任人=卜日升  | 计划=2026-11-21 | 实际=无          | 名称=组织架构及法人主体主数据同步
ID=37211 | 单位ID=1241 | 阶段=期初数据   | 状态=未开始   | 进度=  0% | 责任人=汤文轩  | 计划=2026-12-13 | 实际=无          | 名称=各核算主体总账科目期初余额导入
ID=37212 | 单位ID=1241 | 阶段=用户培训   | 状态=未开始   | 进度=  0% | 责任人=卜日升  | 计划=2026-12-19 | 实际=无          | 名称=全员线上操作手册分发与微课学习
ID=37213 | 单位ID=1241 | 阶段=接口联调   | 状态=未开始   | 进度=  0% | 责任人=谢风雷  | 计划=2026-12-08 | 实际=无          | 名称=生产ERP工单成本核算接口联调
ID=37214 | 单位ID=1241 | 阶段=基础环境   | 状态=未开始   | 进度=  0% | 责任人=苏飞   | 计划=2026-12-22 | 实际=无          | 名称=自动化数据定时备份与容灾演练
ID=37215 | 单位ID=1241 | 阶段=用户培训   | 状态=未开始   | 进度=  0% | 责任人=滕雅涵  | 计划=2026-12-04 | 实际=无          | 名称=财务专岗全业务流程实操通关考核
ID=37216 | 单位ID=1241 | 阶段=期初数据   | 状态=未开始   | 进度=  0% | 责任人=赵心怡  | 计划=2026-12-14 | 实际=无          | 名称=存货期初库存数量及暂估入库金额导入
ID=37217 | 单位ID=1241 | 阶段=基础数据   | 状态=未开始   | 进度=  0% | 责任人=卜日升  | 计划=2026-12-23 | 实际=无          | 名称=企业开户银行及银企直联通道配置
